category,subCategory,organization,addressLine1,addressLine2,addressLine3,phoneNumber,url
Shopping and Retail,Clothing,Banff Tailoring Repairs & Alterations,15 Strait Path,Banff,AB45 1AD,01261 818 317,
Shopping and Retail,Vintage,The Retro Rooms,12 Strait Path,Banff,AB45 1AD,07856 652 192,
Shopping and Retail,,G Lawrence,21 Strait Path,Banff,AB45 1AD,01261 815 587,
Attractions and Leisure,Public Attractions,Banff Castle,Castle Street,Banff,AB45 1DJ,,
Food and Drink,Cafes,The Kelpie Café,Castle Street,Banff,AB45 1DJ,,
Food and Drink,Pubs,Castle Bar,47 Castle Street,Banff,AB45 1DQ,01261 815 068,
Pet Services,Vets,Bellevue Veterinary Group,41-43 Castle Street,Banff,AB45 1DQ,01261 812 168,
Food and Drink,,Seafield Bakery,6 Seafield Street,Banff,AB45 1DS,01261 812 733,
Household Goods and Services,Carpets,James Smith & Son,35 Castle Street,Banff,AB45 1DH,01261 812 433,http://www.jsmithcarpetsbanff.co.uk
Household Goods and Services,Fixtures and Fittings,DW Home Furnishings,31 Castle Street,Banff,AB45 1DH,01261 818 222,
Accommodation and Tourism,B and Bs,Castleview,27 Castle Street,Banff,AB45 1DH,01261 818 156,
Accommodation and Tourism,B and Bs,Trinity Manse,21 Castle Street,Banff,AB45 1DH,01261 812 244,
Food and Drink,,The Real Tandoori,18 Castle Street,Banff,AB45 1DL,01261 818 080,
Professional Services and Banking,Accountants,Atholl Scott,16 Castle Street,Banff,AB45 1DL,01261 815 525,http://www.athollscott.co.uk
Professional Services and Banking,Banks,TSB Bank,12 Castle Street,Banff,AB45 1DL,01261 505 999,http://www.tsb.co.uk
Shopping and Retail,,Cook's Neuk,6-8 Castle Street,Banff,AB45 1DL,,
Household Goods and Services,Repairs,Trend DIY,6-8 Castle Street,Banff,AB45 1DL,01261 812 987,
Healthcare and Wellness,Pharmacists,Baird's Chemist and Post Office,11 Castle Street,Banff,AB45 1DH,01261 815 039,http://www.scottthechemistbanff.co.uk
Food and Drink,Cafes,Baird's Coffee Shop,11 Castle Street,Banff,AB45 1DH,01261 815 039,http://www.scottthechemistbanff.co.uk
Supermarket and Convenience,,Premier,1 Castle Street,Banff,AB45 1DH,01261 812 239,
Food and Drink,Pubs,Central Bar Banff,25-27 Boyndie Street,Banff,AB45 1DY,01261 812 422,
Food and Drink,Cafes,Delight Café,10a Boyndie Street,Banff,AB45 1DY,01261 815 553,
Healthcare and Wellness,Dentists,Banff Dental Practice,7a Boyndie Street,Banff,AB45 1DY,01261 812 703,
Hair and Beauty,Barbers,The Barber Shop,7 Boyndie Street,Banff,AB45 1DY,,
Professional Services and Banking,Solicitors,A E A Brodie,40 High Street,Banff,AB45 1AJ,01261 812 681,
Hair and Beauty,Nails,Nails by Anna,79 High Street,Banff,AB45 1AN,07794 357 506,
Hair and Beauty,Hairdressers,Hair & Co,81 High Street,Banff,AB45 1AN,01261 818 877,
Hair and Beauty,,Evissa,79 High Street,Banff,AB45 1AN,01261 812 824,
Food and Drink,,J G Ross,75 High Street,Banff,AB45 1AN,,http://www.jg-ross-bakers.co.uk
Healthcare and Wellness,,Duncan & Todd,73 High Street,Banff,AB45 1AN,01224 644 927,http://duncanandtodd.com
Hair and Beauty,,Glamour Beauty,69 High Street,Banff,AB45 1AN,01261 812 404,
Healthcare and Wellness,Pharmacists,Strachan Pharmacy,69 High Street,Banff,AB45 1AN,01261 812404,http://www.numarkpharmacists.com
Food and Drink,Cafes,Strachan Pharmacy Café,69 High Street,Banff,AB45 1AN,01262 812404,
Shopping and Retail,Clothing,M&Co,34 High Street,Banff,AB45 1AN,01261 818162,http://www.mandco.com
Professional Services and Banking,,Stewart & Watson,65 High Street,Banff,AB45 1AN,01542 833 255,http://www.stewartwatson.co.uk
Shopping and Retail,,John Stewart,63 High Street,Banff,AB45 1AN,01261 812 440,http://www.johnstewartbutchers.co.uk
Food and Drink,Fast Food,Lighthouse Fish Bar,55-57 High Street,Banff,AB45 1AN,01261 818 184,
Accommodation and Tourism,Hotels,The County Hotel,30 High Street,Banff,AB45 1AE,01261 815 353,http://www.thecountyhotel.com/
Supermarket and Convenience,,R S McColls,49-53 High Street,Banff,AB45 1AN,01261 812 138,
Hair and Beauty,Barbers,Dawn's Barber Shop,47 High Street,Banff,AB45 1AN,07855 895 695,
Food and Drink,,Home Bakery,39 High Street,Banff,AB45 1AN,01261 812 313,
Healthcare and Wellness,,I C Andrew,27 High Street,Banff,AB45 1AN,01261 812 326,
Professional Services and Banking,,Alexander George & Co,25 High Street,Banff,AB45 1AN,01261 815 678,
Attractions and Leisure,Public Attractions,Banff Museum,High Street,Banff,AB45 1AE,01771 622 906,
Education,,Banff Library,High Street,Banff,AB45 1AE,01261 455752,
Food and Drink,Full service,Roma,21 High Street,Banff,AB45 1AN,01261 818 844,
Food and Drink,,The Candy Box,15 High Street,Banff,AB45 1AN,01261 815 575,
Food and Drink,Cafes,The Coffee Pot,13 High Street,Banff,AB45 1AN,01261 812 742,
Shopping and Retail,,Fones 'n' PCs,9 High Street,Banff,AB45 1AN,01261 498 082,http://www.fonesnpcs.co.uk
Shopping and Retail,,Imagine,27 Low Street,Banff,AB45 1AU,01261 819 885,
Healthcare and Wellness,Dentists,Deveron Dental Laboratory,17 High Street,Banff,AB45 1AN,01261 812 006,
Shopping and Retail,,The Good Sleep Company,24 High Street,Banff,AB45 1AE,01261 819 984,
Supermarket and Convenience,,Spar,42 Boyndie Street West,Banff,AB45 1EP,01261 812 308,http://www.spar.co.uk
Shopping and Retail,,Spotty Bag Shop,13 Old Market Place,Banff,AB45 1GE,01261 815623,
Shopping and Retail,Gifts,Market Crafts,5 & 7 Strait Path,Banff,AB45 1AD,,
Attractions and Leisure,Public Attractions,Duff House,,Banff,AB45 3SX,01261 818 181,https://www.historicenvironment.scot/visit-a-place/places/duff-house/
Sports and Recreation,Sports facilities,Duff House Royal Golf Club,,Banff,AB45 3SX,01261 812 062,http://www.duffhouseroyal.com/
Food and Drink,Full service,Resturant 19,,Banff,AB45 3SX,01261 812 062,http://www.duffhouseroyal.com/restaurant-nineteen
Accommodation and Tourism,Hotels,Banff Springs Hotel,Golden Knowes Road,Banff,AB45 2JE,01261 812 881,http://thebanffsprings.co.uk/
Accommodation and Tourism,Hotels,Fife Lodge Hotel,Sandyhill Road,Banff,AB45 1BE,01261 812 436,https://www.fifelodgehotel.com/
Transport and Motorcare,Filling stations,Victoria Filling Station,Boyndie Road,Banff,AB45 2JD,01261 812 217,
Food and Drink,Fast Food,Crown Chip Shop,2 Lusylaw Road,Banff,AB45 1EW,01261 815 239,
Food and Drink,Full service,Rex's Kitchen,3 Duncan Street,Banff,AB45 1EQ,01261 812 795,
Shopping and Retail,,Meadowlands,83-7 North Castle Street,Banff,AB45 1JJ,01261 818 535,
Food and Drink,Cafes,Thread Bear Café,83-7 North Castle Street,Banff,AB45 1JJ,1262818535,
Food and Drink,Pubs,The Ship Inn,8 Deveronside,Banff,AB45 1HP,01261 812 620,
Hair and Beauty,,Elysian,8 Quayside,Banff,AB45 1HQ,,
Shopping and Retail,Vintage,Upcycled Annie,Quayside,Banff,AB45 1HQ,,
Healthcare and Wellness,Acupuncturists,Acupuncture Clinic,81 North Castle Street,Banff,AB45 1HX,01261 818 668,
Transport and Motorcare,Valeting,MG CarWash,2A North Castle Street,Banff,AB45 1JJ,07784 194 444,
Shopping and Retail,Vintage,Lynash Antiques,9 Old Market Place,Banff,AB45 1GE,01261 812 861,
Transport and Motorcare,Garages,County Garage,9 Old Market Place,Banff,AB45 1GE,01261 815 750,
Transport and Motorcare,Garages,HC Tyres,5 Duncan Street,Banff,AB45 1EQ,01261 818 153,
Hair and Beauty,Hairdressers,Head Start,68 North Castle Street,Banff,AB45 1DL,,
Hair and Beauty,Hairdressers,Cutting Edge,63 North Castle Street,Banff,AB45 1DL,,
Transport and Motorcare,Repairs,Stewart Cheynes,Deveronside,Banff,AB45 1HL,01261 815 777,http://www.stewartcheyne.co.uk/
Professional Services and Banking,Architects,Mantell Ritchie,27a High Street,Banff,AB45 1AN,01261 812 267,
Hair and Beauty,Hairdressers,Omika,83 Nrth Castle Street,Banff,AB45 1JJ,01261 818 620,
Hair and Beauty,,Kumari Beauty,8 Low Street,Banff,AB45 1AS,07500 919 563,
Sports and Recreation,Golf Courses,Royal Tarlair Golf Club,Buchan Street,Macduff,AB44 1TA,01261 832 897,http://www.royaltarlair.co.uk
Transport and Motorcare,Filling stations,Gleaner,Union Road,Macduff,AB44 1UD,01261 832 979,
Accommodation and Tourism,Hotels,The Park Hotel,Fife Street,Macduff,AB44 1YA,01261 832 265,http://www.parkhotel-scotland.co.uk/19357.html
Education,,Macduff Library,High Street,Macduff,AB44 1PR,01261 833289,
Household Goods and Services,Fixtures and Fittings,West Kitchen Studio,Old Gamrie Road,Macduff,AB44 1GD,01261 833 800,http://www.westkitchenstudio.co.uk/
Construction and Trades,Construction,Travis Perkins,Old Gamrie Road,Macduff,AB44 1GD,01261 832 247,http://www.travisperkins.co.uk
Sports and Recreation,Sports facilities,Macduff Bowling Club,98 Duff Street,Macduff,AB44 1PR,,
Healthcare and Wellness,,Macduff Medical Practice,100 Duff Street,Macduff,AB44 1PR,01261 833 777,http://www.nhsgrampian.co.uk
Healthcare and Wellness,Pharmacists,Lloydspharmacy,157 Duff Street,Macduff,AB44 1PS,01261 832 219,http://www.lloydspharmacy.com
Supermarket and Convenience,,Scotmid,153 Duff Street,Macduff,AB44 1PS,01261 832 533,http://www.scotmid.co.uk
Hair and Beauty,Hairdressers,Tusk,75 Duff Street,Macduff,AB44 1PR,,
Food and Drink,Fast Food,Salt N Batter,81 Duff Street,Macduff,AB44 1PR,01261 831 881,
Healthcare and Wellness,Dentists,Macduff Dental,52 Duff Street,Macduff,AB44 1LQ,01261 833 525,http://macduffdental.co.uk
Accommodation and Tourism,,Coasters,6 Crook O Ness Street,Macduff,AB44 1TR,01261 832 425,
Attractions and Leisure,Public Attractions,Macduff Marine Aquarium,11 High Shore,Macduff,AB44 1SL,01261 833 369,http://www.macduff-aquarium.org.uk
Shopping and Retail,,Inshore Fish Supply,2 Market Street,Macduff,AB44 1RJ,01261 832 584,
Food and Drink,Full service,Cornerstone Restaurant,1 Market Street,Macduff,AB44 1RJ,01261 498 632,
Accommodation and Tourism,Hotels,The Knowes Hotel,78 Market Street,Macduff,AB44 1LL,01261 606 101,https://knoweshotelandrestaurant.co.uk/
Food and Drink,Fast Food,Dolphin Fish and Chips,8 Skene Street,Macduff,AB44 1RN,01261 831 280,http://www.dolphinfishandchips.co.uk/
Shopping and Retail,,Fine Things,Low Street,Banff,AB45,,
Food and Drink,Fast Food,Andy Tang's Chinese,19 Crook O Ness Street,Macduff,AB44 1QT,01261 832 481,
Food and Drink,Fast Food,China Town,2 Crook O Ness Street,Macduff,AB44 1TR,01261 833 922,
Charity Shop,,Deveron District Age Concern,35 Shore Street,Macduff,AB44 1TS,01261 832 264,https://www.deverondistrictageconcern.co.uk/
Food and Drink,Cafes,The Seafront Cafe & Takeaway,33 Shore Street,Macduff,AB44 1TS,01261 831 017,http://www.theseafrontmacduff.co.uk
Construction and Trades,,A Paterson,31a Shore Street,Macduff,AB44 1TS,,
Food and Drink,Pubs,The Old Moray,29 Shore Street,Macduff,AB44 1TS,01261 832 279,
Hair and Beauty,,Lyndsey's,52 Gellymill Street,Macduff,AB44 1TN,01261 833 719,
Professional Services and Banking,Solicitors,Walter Gerard & Co,48 Gellymill Street,Macduff,AB44 1TN,01261 832 491,
Household Goods and Services,General contractors,J & A Ingram,27 Gellymill Street,Macduff,AB44 1TN,01261 832 343,
Accommodation and Tourism,B and Bs,Monica and Martin's Bed and Breakfast,21 Gellymill Street,Macduff,AB44 1TN,,
Supermarket and Convenience,,Costcutter,20 Duff Street,Macduff,AB44 1TL,01261 833 364,http://www.costcutter.com
Shopping and Retail,,J & J Porterfield and Post Office,27 Duff Street,Macduff,AB44 1TL,,
Charity Shop,,British Red Cross Shop,1 Duff Street,Macduff,AB44 1TL,01261 832 857,http://www.redcross.org.uk
Professional Services and Banking,,Mortgage Advice Company,27 Shore Street,Macduff,AB44 1TX,01261 833 400,http://www.mortgageadvicecompany.com
Hair and Beauty,Hairdressers,Meraki,Station Brae,Macduff,AB44 1UL,01261 833 880,http://www.merakihairandbeauty.co.uk/
Food and Drink,,Annies Cakery,Station Brae,Macduff,AB44 1UL,01261 831 743,http://anniescakery.uk/contact-us
Shopping and Retail,,Seaway,Station Brae,Macduff,AB44 1UL,01261 832 877,http://www.seawaygroup.co.uk/index/company-history
Construction and Trades,General contractors,Coast Bearings,Station Brae,Macduff,AB44 1UL,01261 831 188,http://www.coastbearings.co.uk/
Shopping and Retail,,The Platform,Station Brae,Macduff,AB44 1UL,01261 832 877,http://www.theplatform-macduff.co.uk/
Construction and Trades,,Bucaneer,4 Union Road,Macduff,AB44 1UJ,01261 835199,
Transport and Motorcare,,Deveron Coaches,6 Union Road,Macduff,AB44 1UJ,01261 832 912,http://deveroncoaches.com/index.html
Shopping and Retail,,RNLI,Bankhead Road Harbour,Macduff,AB44 1RD,01261 832 813,https://rnli.org/
Charity Shop,,Daniels Place,29 Duff Street,Macduff,AB44 1TL,01261 832 572,
Construction and Trades,General contractors,All in House,20 Gellymill Street,Macduff,AB44 1TN,01261 831 628,http://www.allinhouse.com/
Shopping and Retail,Carpets,The Garrett,Bath Street,Macduff,AB44 1SA,01261 832 210,http://www.thegarrethomefurnishers.co.uk/
Construction and Trades,,Echo Master Marine Store,25 Shore Street,Macduff,AB44 1TX,01261 831 644,http://echomastermarine.co.uk/
Food and Drink,,Deveron Direct,Station Brae,Macduff,AB44 1UL,01261 833 121,http://www.deverondirect.com/
Hair and Beauty,Hairdressers,Belle Ame Hair and Beauty,21 Shore Street,Macduff,AB44 1UB,01261 832 223,
Hair and Beauty,,Cheryl's Beauty Room,8 Melrose Cresecent,Macduff,AB44 1QX,07980 139 560,
Shopping and Retail,,BEAT,Old Gamrie Road,Macduff,AB44 1QD,01261 833 661,
Pet Services,Vets,Deveron Vets,1 Mill Street,Macduff,AB44 1RS,01261 832 666,https://deveronvets.co.uk/contact-us/macduff/
Transport and Motorcare,Taxis,Harbour Taxi's,,,,07977 845 664,
Transport and Motorcare,Taxis,Vale Taxi's,,,,07756 988 793,
Transport and Motorcare,Taxis,Finnies Taxi's,,,,07925 226 909,
Transport and Motorcare,Taxis,Denny's Taxi's,,,,01261 833 293 / 07757 903 564,
Transport and Motorcare,Taxis,dd Taxi's,,,,01261 831 163,
Transport and Motorcare,Taxis,Malcolm's Taxi's,,,,07756 799 099,
Transport and Motorcare,Taxis,AA Taxi's,,,,01261 842 437 / 07854 842 221,
Transport and Motorcare,Taxis,Portsoy Taxi's,,,,01261 843 770,
Transport and Motorcare,Taxis,Sonya's Taxi's,,,,07842 698 242,
Transport and Motorcare,Taxis,Eco Taxi's,,,,01261 498 100,
Transport and Motorcare,Taxis,B and G Taxi's,,,,07710 589 626,
Attractions and Leisure,Golf Courses,Myrus Golf Centre and Driving Range,,Macduff,AB44 1RG,01261 818 804,http://www.myrusgolf.co.uk/
Transport and Motorcare,Filling stations,Victoria Filling Station,Boyndie Road,Banff,AB45 2JD,01261 812 217,
Transport and Motorcare,Filling stations,Union Rd Filling Station,18 Union Road,Macduff,AB44 1UJ,01261 832 978,
Food and Drink,,The One Pot Stop Food Bar,Links Brae Layby,Banff,,07756 378 954,
Food and Drink,,Aqua Rue,Aquarium Car Park,Macduff,,07715 954 152,
Food and Drink,,Mo and Wendy's Street Food,Bridge Road,Banff,,07887 697 544,
Food and Drink,Full service,Bridge View Restaurant,13 Old Market Place,Banff,AB45 1GE,01261 815 623,
Food and Drink,Cafes,Duff House Tea Room,Duff House,Banff,AB45 3BX,,
Food and Drink,Cafes,Myrus Coffee Shop,,Macduff,AB44 1RG,01261 818 804,
Food and Drink,Cafes,Home Bakery and Bakehoose Coffee Shop,Duff Street,Macduff,AB44 1LX,,
Food and Drink,,Deveronside Social Club,Tannery Street,Banff,AB45 1RQ,01261 812 769,www.deveronside.scot
Education,,Vanilla Ink The Smiddy,Old Market Place,Banff,AB45 1GE,01261 498 738,www.vanillainkthesmiddy.co.uk
Hair and Beauty,Barbers,Efes Turkish Barbers,17 Strait Path,Banff,AB45 1AD,01261 498 597,
Hair and Beauty,Tattoos,Tattooed Monkey,43 Duff Street,Macduff,AB44 1QJ,01261 833 055,
